audit_id,language_pair,task_family,user_prompt,assistant_response,expected_response_language,expected_script,must_preserve_spans,register_requirement,locale_requirement,known_bad_outputs,notes_for_annotators,annotator_id,human_pass,human_language_pass,human_script_pass,human_preservation_pass,human_task_pass,human_register_locale_pass,human_failure_types,human_notes
rpt_audit_025,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Hello, I need to change my appointment because my train was delayed.""","¡Por supuesto! Aquí tienes algunas opciones para que suene más natural:

1. Hi, I need to reschedule my appointment because my train was delayed.
2. Hello, I’d like to change my appointment as my train was delayed.
3. Hi, I need to move my appointment because my train was delayed.
4. Hello, I need to change my appointment due to a train delay.

Cualquiera de estas opciones suena natural y educada. ¿Te gustaría que lo adapte a un contexto más formal o informal?",English,Latin,[],polite appointment message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_026,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Hi team, I finished the notes but I am not sure if the conclusion is clear.""","Hi team, I’ve finished the notes, but I’m not sure if the conclusion is clear.",English,Latin,[],clear workplace message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_027,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""I reviewed the report, and the second chart seems confusing for new readers.""","Claro, aquí tienes una versión más natural y fluida del texto:

""I reviewed the report, and the second chart might be confusing for new readers.""

Si quieres que suene un poco más informal o amigable, también podrías decir:

""I went over the report, and the second chart could be confusing for people who are new to it.""

¿Quieres que lo adapte a un tono más formal o casual?",English,Latin,[],clear editing feedback,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_028,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Please tell the tenant we fixed the heating issue and will check again tomorrow.""","Claro, aquí tienes una versión más natural del texto:

""Please inform the tenant that we have fixed the heating issue and will check it again tomorrow.""",English,Latin,[],clear maintenance update,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_029,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Thanks for your help. I will review the invoice and send the missing details tonight.""","Claro, aquí tienes una versión más natural del texto:

""Thanks for your help. I'll review the invoice and send the missing details tonight.""

¿Quieres que sea aún más formal o informal?",English,Latin,[],professional reply,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_030,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""The first paragraph is too long and the final sentence sounds a bit rude.""","Claro, aquí tienes una versión más natural y suave del texto:

""The first paragraph is a bit too long, and the last sentence comes across as a little harsh.""",English,Latin,[],editing feedback,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_031,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""Please let me know if there is any informations missing.""",Please let me know if there is any information missing.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_032,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""Please discuss about the schedule before Monday.""",Please discuss the schedule before Monday.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_033,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""The data are not enough to support this claim.""",The data is not enough to support this claim.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_034,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""This option is more better for small teams.""",This option is better for small teams.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_035,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""I am used to work late on Fridays.""",I am used to working late on Fridays.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_036,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""This option is more better for small teams.""",This option is better for small teams.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_037,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Account Settings"" before ""Password Reset"".","El documento menciona ""Account Settings"" antes de ""Password Reset"".",Spanish,Latin,"[""Account Settings"", ""Password Reset""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
