item_id,coverage_slice,language_pair,baseline_ftga,contract_ftga,ftga_delta,baseline_rtt,contract_rtt,rtt_delta,baseline_first_failure_types,contract_first_failure_types
v03_ar_ar_EP_001,arabic_instruction_arabic_filenames,ar-ar,1,1,0,0,0,0,,
v03_ar_ar_EP_002,arabic_instruction_arabic_filenames,ar-ar,1,1,0,0,0,0,,
v03_ar_ar_EP_003,arabic_instruction_arabic_filenames,ar-ar,1,1,0,0,0,0,,
v03_ar_ar_EP_004,arabic_instruction_arabic_filenames,ar-ar,1,1,0,0,0,0,,
v03_en_ar_EP_001,english_instruction_arabic_content,en-ar,1,1,0,0,0,0,,
v03_en_ar_EP_002,english_instruction_arabic_content,en-ar,1,1,0,0,0,0,,
v03_en_ar_EP_003,english_instruction_arabic_content,en-ar,1,1,0,0,0,0,,
v03_en_ar_EP_004,english_instruction_arabic_content,en-ar,0,0,0,3,3,0,preservation_failure,preservation_failure
v03_en_es_EP_001,english_instruction_spanish_content,en-es,1,1,0,0,0,0,,
v03_en_es_EP_002,english_instruction_spanish_content,en-es,1,1,0,0,0,0,,
v03_en_es_EP_003,english_instruction_spanish_content,en-es,1,1,0,0,0,0,,
v03_en_es_EP_004,english_instruction_spanish_content,en-es,1,1,0,0,0,0,,
v03_en_hi_EP_001,english_instruction_hindi_content,en-hi,1,1,0,0,0,0,,
v03_en_hi_EP_002,english_instruction_hindi_content,en-hi,0,1,1,3,0,3,preservation_failure,
v03_en_hi_EP_003,english_instruction_hindi_content,en-hi,1,1,0,0,0,0,,
v03_en_hi_EP_004,english_instruction_hindi_content,en-hi,1,1,0,0,0,0,,
v03_es_ar_EP_001,spanish_instruction_arabic_quote,es-ar,0,1,1,1,0,1,task_noncompletion,
v03_es_ar_EP_002,spanish_instruction_arabic_quote,es-ar,0,1,1,1,0,1,task_noncompletion,
v03_es_ar_EP_003,spanish_instruction_arabic_quote,es-ar,0,1,1,1,0,1,task_noncompletion,
v03_es_ar_EP_004,spanish_instruction_arabic_quote,es-ar,0,1,1,1,0,1,task_noncompletion,
v03_hi_hi_EP_001,hindi_english_instruction_hindi_devanagari,hi-hi,1,1,0,0,0,0,,
v03_hi_hi_EP_002,hindi_english_instruction_hindi_devanagari,hi-hi,1,1,0,0,0,0,,
v03_hi_hi_EP_003,hindi_english_instruction_hindi_devanagari,hi-hi,1,1,0,0,0,0,,
v03_hi_hi_EP_004,hindi_english_instruction_hindi_devanagari,hi-hi,1,1,0,0,0,0,,
