item_id,model,condition,language_pair,task_family,ftga,rtt,resolved,unresolved,initially_failed,repair_success_1,repair_success_2,token_tax,first_failure_types
es_en_SA_001,gpt-4.1-nano,generic_helpfulness,es-en,editing_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SA_002,gpt-4.1-nano,generic_helpfulness,es-en,editing_preservation,0,1,1,0,1,1,1,2.259259259259259,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_003,gpt-4.1-nano,generic_helpfulness,es-en,editing_preservation,0,1,1,0,1,1,1,2.2634730538922154,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_004,gpt-4.1-nano,generic_helpfulness,es-en,editing_preservation,0,1,1,0,1,1,1,2.2738095238095237,"['wrong_output_language', 'task_noncompletion']"
es_en_SA_005,gpt-4.1-nano,generic_helpfulness,es-en,editing_preservation,0,1,1,0,1,1,1,2.276470588235294,"['wrong_output_language', 'task_noncompletion']"
es_en_SB_001,gpt-4.1-nano,generic_helpfulness,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SB_002,gpt-4.1-nano,generic_helpfulness,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SB_003,gpt-4.1-nano,generic_helpfulness,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SB_004,gpt-4.1-nano,generic_helpfulness,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SB_005,gpt-4.1-nano,generic_helpfulness,es-en,output_language_inference,1,0,1,0,0,0,0,1.0,[]
es_en_SC_001,gpt-4.1-nano,generic_helpfulness,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SC_002,gpt-4.1-nano,generic_helpfulness,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SC_003,gpt-4.1-nano,generic_helpfulness,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SC_004,gpt-4.1-nano,generic_helpfulness,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SC_005,gpt-4.1-nano,generic_helpfulness,es-en,quote_preservation,1,0,1,0,0,0,0,1.0,[]
es_en_SD_001,gpt-4.1-nano,generic_helpfulness,es-en,script_register_locale,1,0,1,0,0,0,0,1.0,[]
es_en_SD_002,gpt-4.1-nano,generic_helpfulness,es-en,script_register_locale,1,0,1,0,0,0,0,1.0,[]
es_en_SD_003,gpt-4.1-nano,generic_helpfulness,es-en,script_register_locale,1,0,1,0,0,0,0,1.0,[]
es_en_SD_004,gpt-4.1-nano,generic_helpfulness,es-en,script_register_locale,1,0,1,0,0,0,0,1.0,[]
