model,condition,task_family,n_items,ftga_pct,mean_rtt,token_tax,unresolved_pct
gpt-4.1-nano,baseline,editing_preservation,30,33.3,0.667,2.063,0.0
gpt-4.1-nano,baseline,output_language_inference,30,100.0,0.0,1.0,0.0
gpt-4.1-nano,baseline,quote_preservation,30,70.0,0.633,1.948,13.3
gpt-4.1-nano,baseline,script_register_locale,30,66.7,0.567,1.76,10.0
gpt-4.1-nano,generic_helpfulness,editing_preservation,30,63.3,0.367,1.466,0.0
gpt-4.1-nano,generic_helpfulness,output_language_inference,30,100.0,0.0,1.0,0.0
gpt-4.1-nano,generic_helpfulness,quote_preservation,30,70.0,0.3,1.359,0.0
gpt-4.1-nano,generic_helpfulness,script_register_locale,30,66.7,0.633,1.654,13.3
gpt-4.1-nano,content_preservation,editing_preservation,30,80.0,0.267,1.214,3.3
gpt-4.1-nano,content_preservation,output_language_inference,30,100.0,0.0,1.0,0.0
gpt-4.1-nano,content_preservation,quote_preservation,30,73.3,0.267,1.33,0.0
gpt-4.1-nano,content_preservation,script_register_locale,30,66.7,0.533,1.572,10.0
gpt-4.1-nano,contract,editing_preservation,30,66.7,0.333,1.397,0.0
gpt-4.1-nano,contract,output_language_inference,30,100.0,0.0,1.0,0.0
gpt-4.1-nano,contract,quote_preservation,30,73.3,0.367,1.399,3.3
gpt-4.1-nano,contract,script_register_locale,30,66.7,0.6,1.57,13.3
gpt-5.4-mini,baseline,editing_preservation,30,33.3,0.667,2.121,0.0
gpt-5.4-mini,baseline,output_language_inference,30,100.0,0.0,1.0,0.0
gpt-5.4-mini,baseline,quote_preservation,30,100.0,0.0,1.0,0.0
gpt-5.4-mini,baseline,script_register_locale,30,86.7,0.333,1.395,10.0
gpt-5.4-mini,contract,editing_preservation,30,66.7,0.333,1.384,0.0
gpt-5.4-mini,contract,output_language_inference,30,100.0,0.0,1.0,0.0
gpt-5.4-mini,contract,quote_preservation,30,93.3,0.2,1.163,6.7
gpt-5.4-mini,contract,script_register_locale,30,80.0,0.467,1.418,13.3
gpt-5.4-mini,content_preservation,editing_preservation,30,66.7,0.333,1.408,0.0
gpt-5.4-mini,content_preservation,output_language_inference,30,100.0,0.0,1.0,0.0
gpt-5.4-mini,content_preservation,quote_preservation,30,93.3,0.2,1.179,6.7
gpt-5.4-mini,content_preservation,script_register_locale,30,83.3,0.433,1.419,13.3
gpt-5.5,baseline,editing_preservation,30,33.3,0.7,1.957,0.0
gpt-5.5,baseline,output_language_inference,30,96.7,0.1,1.059,3.3
gpt-5.5,baseline,quote_preservation,30,100.0,0.0,1.0,0.0
gpt-5.5,baseline,script_register_locale,30,96.7,0.1,1.097,3.3
gpt-5.5,contract,editing_preservation,30,93.3,0.067,1.066,0.0
gpt-5.5,contract,output_language_inference,30,100.0,0.0,1.0,0.0
gpt-5.5,contract,quote_preservation,30,100.0,0.0,1.0,0.0
gpt-5.5,contract,script_register_locale,30,100.0,0.0,1.0,0.0
gpt-5.5,content_preservation,editing_preservation,30,100.0,0.0,1.0,0.0
gpt-5.5,content_preservation,output_language_inference,30,100.0,0.0,1.0,0.0
gpt-5.5,content_preservation,quote_preservation,30,100.0,0.0,1.0,0.0
gpt-5.5,content_preservation,script_register_locale,30,96.7,0.033,1.046,0.0
