model_generation,model,condition,n,ftga_pct,mean_rtt,unresolved_pct,mean_first_turn_tokens,mean_total_tokens_until_stop,mean_extra_tokens_after_first,mean_token_tax,total_tokens_until_stop
GPT-4.1 family,gpt-4.1,baseline,120,76.7,0.283,2.5,81.525,132.7,51.175,1.434439,15924
GPT-4.1 family,gpt-4.1,contract,120,93.3,0.15,4.2,223.417,256.283,32.867,1.134065,30754
GPT-4.1 family,gpt-4.1-mini,baseline,120,75.8,0.275,0.8,76.767,120.917,44.15,1.431533,14510
GPT-4.1 family,gpt-4.1-mini,contract,120,79.2,0.242,1.7,227.417,293.158,65.742,1.272079,35179
GPT-4.1 family,gpt-4.1-nano,baseline,120,67.5,0.467,5.8,80.208,139.258,59.05,1.692753,16711
GPT-4.1 family,gpt-4.1-nano,contract,120,76.7,0.325,4.2,226.858,308.092,81.233,1.341413,36971
GPT-5.x family,gpt-5.4-mini,baseline,120,80.0,0.25,2.5,81.367,128.433,47.067,1.379095,15412
GPT-5.x family,gpt-5.4-mini,contract,120,85.0,0.25,5.0,223.5,280.033,56.533,1.241365,33604
GPT-5.x family,gpt-5.5,baseline,120,81.7,0.225,1.7,122.775,164.3,41.525,1.278418,19716
GPT-5.x family,gpt-5.5,contract,120,98.3,0.017,0,274.042,278.758,4.717,1.016492,33451
