dispatch_priority,surface_id,slice_id,workflow_mode,reviewer_index,reviewer_slot,surface_label,title,rows,attach_bundle_path,bundle_sha256,expected_return_path,expected_export_name,outgoing_subject,outgoing_message,claim_boundary
1,current_model_human_audit_v02,ar-en,minimum_single_label,1,current_model_human_audit_v02::ar-en::reviewer_1,Current-model human/native audit,Arabic-English,16,results/label_collection_bundles_v02/current_model_human_audit_v02/ar-en.zip,5de8736621a4ee6c8a4dd2543f323ea741dc9607598ade045f3c269609432670,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_ar-en_completed.csv,human_audit_packet_v0.2_current_gpt5_ar-en_completed.csv,RePromptTax review bundle: Arabic-English,"Please complete the attached RePromptTax review bundle for Arabic-English. It contains 16 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as human_audit_packet_v0.2_current_gpt5_ar-en_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
1,current_model_human_audit_v02,es-en,minimum_single_label,1,current_model_human_audit_v02::es-en::reviewer_1,Current-model human/native audit,Spanish-English,16,results/label_collection_bundles_v02/current_model_human_audit_v02/es-en.zip,a43d00010bc7364b9474d8f7d01b82cea57d8068a119084f5584cc8fe3204648,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_es-en_completed.csv,human_audit_packet_v0.2_current_gpt5_es-en_completed.csv,RePromptTax review bundle: Spanish-English,"Please complete the attached RePromptTax review bundle for Spanish-English. It contains 16 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as human_audit_packet_v0.2_current_gpt5_es-en_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
1,current_model_human_audit_v02,hi-en,minimum_single_label,1,current_model_human_audit_v02::hi-en::reviewer_1,Current-model human/native audit,Hindi-English,16,results/label_collection_bundles_v02/current_model_human_audit_v02/hi-en.zip,e7147d3581fd3060fe5d365bb2370cf043c843ec09197a2e3bf71e13c8f3abcc,data/current_model_human_audit/human_audit_packet_v0.2_current_gpt5_hi-en_completed.csv,human_audit_packet_v0.2_current_gpt5_hi-en_completed.csv,RePromptTax review bundle: Hindi-English,"Please complete the attached RePromptTax review bundle for Hindi-English. It contains 16 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as human_audit_packet_v0.2_current_gpt5_hi-en_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
2,human_audit_v02,ar-en,minimum_single_label,1,human_audit_v02::ar-en::reviewer_1,Original v0.2 human/native audit,Arabic-English,24,results/label_collection_bundles_v02/human_audit_v02/ar-en.zip,234b1233764c66e6d1eb0cc5262e3c629086d4e77704239463e6db3badc9a8e7,data/human_audit/human_audit_packet_v0.2_ar-en_completed.csv,human_audit_packet_v0.2_ar-en_completed.csv,RePromptTax review bundle: Arabic-English,"Please complete the attached RePromptTax review bundle for Arabic-English. It contains 24 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as human_audit_packet_v0.2_ar-en_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
2,human_audit_v02,es-en,minimum_single_label,1,human_audit_v02::es-en::reviewer_1,Original v0.2 human/native audit,Spanish-English,24,results/label_collection_bundles_v02/human_audit_v02/es-en.zip,4ef5328ee36d3f3adcafb64f402122e118ccc33c47e4722bed5a90f4dd5be9f1,data/human_audit/human_audit_packet_v0.2_es-en_completed.csv,human_audit_packet_v0.2_es-en_completed.csv,RePromptTax review bundle: Spanish-English,"Please complete the attached RePromptTax review bundle for Spanish-English. It contains 24 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as human_audit_packet_v0.2_es-en_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
2,human_audit_v02,hi-en,minimum_single_label,1,human_audit_v02::hi-en::reviewer_1,Original v0.2 human/native audit,Hindi-English,24,results/label_collection_bundles_v02/human_audit_v02/hi-en.zip,4641a7d9fd9cbe1fe100ced5f3407792781436c90f561e4eb19edb9c2880da4c,data/human_audit/human_audit_packet_v0.2_hi-en_completed.csv,human_audit_packet_v0.2_hi-en_completed.csv,RePromptTax review bundle: Hindi-English,"Please complete the attached RePromptTax review bundle for Hindi-English. It contains 24 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as human_audit_packet_v0.2_hi-en_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
3,coverage_native_review_v03,arabic_instruction_arabic_filenames,minimum_single_label,1,coverage_native_review_v03::arabic_instruction_arabic_filenames::reviewer_1,v0.3 coverage native review,"Arabic Instruction, Arabic Content With English File Names",10,results/label_collection_bundles_v02/coverage_native_review_v03/arabic_instruction_arabic_filenames.zip,a6d239ba8154055d4e5cd149a6c3285f9c7cfa43c51c2ac9d0338522169e7472,data/coverage_native_review_v03/coverage_native_review_v03_arabic_instruction_arabic_filenames_completed.csv,coverage_native_review_v03_arabic_instruction_arabic_filenames_completed.csv,"RePromptTax review bundle: Arabic Instruction, Arabic Content With English File Names","Please complete the attached RePromptTax review bundle for Arabic Instruction, Arabic Content With English File Names. It contains 10 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as coverage_native_review_v03_arabic_instruction_arabic_filenames_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
3,coverage_native_review_v03,english_instruction_arabic_content,minimum_single_label,1,coverage_native_review_v03::english_instruction_arabic_content::reviewer_1,v0.3 coverage native review,"English Instruction, Arabic Content",10,results/label_collection_bundles_v02/coverage_native_review_v03/english_instruction_arabic_content.zip,5120d81e8ea40620d6929605b1d2fbb253a52a3953c2815e91c96438b9118536,data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_arabic_content_completed.csv,coverage_native_review_v03_english_instruction_arabic_content_completed.csv,"RePromptTax review bundle: English Instruction, Arabic Content","Please complete the attached RePromptTax review bundle for English Instruction, Arabic Content. It contains 10 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as coverage_native_review_v03_english_instruction_arabic_content_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
3,coverage_native_review_v03,english_instruction_hindi_content,minimum_single_label,1,coverage_native_review_v03::english_instruction_hindi_content::reviewer_1,v0.3 coverage native review,"English Instruction, Hindi Content",10,results/label_collection_bundles_v02/coverage_native_review_v03/english_instruction_hindi_content.zip,9295de2b9a086a81d14f3557cd373f0f2a025eb603c8f7e13b228c56239e75a6,data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_hindi_content_completed.csv,coverage_native_review_v03_english_instruction_hindi_content_completed.csv,"RePromptTax review bundle: English Instruction, Hindi Content","Please complete the attached RePromptTax review bundle for English Instruction, Hindi Content. It contains 10 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as coverage_native_review_v03_english_instruction_hindi_content_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
3,coverage_native_review_v03,english_instruction_spanish_content,minimum_single_label,1,coverage_native_review_v03::english_instruction_spanish_content::reviewer_1,v0.3 coverage native review,"English Instruction, Spanish Content",10,results/label_collection_bundles_v02/coverage_native_review_v03/english_instruction_spanish_content.zip,97653dc8f0ab0cea293b3ea53c00779b7e5622e5b23bcd07ec5fd14164b5845d,data/coverage_native_review_v03/coverage_native_review_v03_english_instruction_spanish_content_completed.csv,coverage_native_review_v03_english_instruction_spanish_content_completed.csv,"RePromptTax review bundle: English Instruction, Spanish Content","Please complete the attached RePromptTax review bundle for English Instruction, Spanish Content. It contains 10 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as coverage_native_review_v03_english_instruction_spanish_content_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
3,coverage_native_review_v03,hindi_english_instruction_hindi_devanagari,minimum_single_label,1,coverage_native_review_v03::hindi_english_instruction_hindi_devanagari::reviewer_1,v0.3 coverage native review,"Hindi-English Instruction, Hindi Devanagari Content",10,results/label_collection_bundles_v02/coverage_native_review_v03/hindi_english_instruction_hindi_devanagari.zip,9b794db92b009eb7e3a0144bd3c95367c731861629b4d5dfd9749dd205f5a025,data/coverage_native_review_v03/coverage_native_review_v03_hindi_english_instruction_hindi_devanagari_completed.csv,coverage_native_review_v03_hindi_english_instruction_hindi_devanagari_completed.csv,"RePromptTax review bundle: Hindi-English Instruction, Hindi Devanagari Content","Please complete the attached RePromptTax review bundle for Hindi-English Instruction, Hindi Devanagari Content. It contains 10 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as coverage_native_review_v03_hindi_english_instruction_hindi_devanagari_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
3,coverage_native_review_v03,spanish_instruction_arabic_quote,minimum_single_label,1,coverage_native_review_v03::spanish_instruction_arabic_quote::reviewer_1,v0.3 coverage native review,"Spanish Instruction, Arabic Quote",10,results/label_collection_bundles_v02/coverage_native_review_v03/spanish_instruction_arabic_quote.zip,cc72f48b4ce52fb11a421a851c6cedc673b4b4df19e4b8e6541f58fe096f0093,data/coverage_native_review_v03/coverage_native_review_v03_spanish_instruction_arabic_quote_completed.csv,coverage_native_review_v03_spanish_instruction_arabic_quote_completed.csv,"RePromptTax review bundle: Spanish Instruction, Arabic Quote","Please complete the attached RePromptTax review bundle for Spanish Instruction, Arabic Quote. It contains 10 rows. Use your assigned reviewer ID, fill every TRUE/FALSE field, include the matching reason code for any failed component, and export the completed CSV as coverage_native_review_v03_spanish_instruction_arabic_quote_completed.csv. Please do not add extra columns or edit static prompt fields.",do_not_claim_completed_human_or_native_validation_until_finalized_labels_pass_gates
