audit_id,language_pair,task_family,user_prompt,assistant_response,expected_response_language,expected_script,must_preserve_spans,register_requirement,locale_requirement,known_bad_outputs,notes_for_annotators,annotator_id,human_pass,human_language_pass,human_script_pass,human_preservation_pass,human_task_pass,human_register_locale_pass,human_failure_types,human_notes
rpt_audit_017,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Hello, I need to change my appointment because my train was delayed.""","Claro. Una versión más natural en inglés sería:

**“Hi, I need to reschedule my appointment because my train was delayed.”**

Si quieres, también puedo darte:
- una versión más formal,
- una más amable,
- o varias opciones según el contexto.",English,Latin,[],polite appointment message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_018,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""Hello, I need to change my appointment because my train was delayed.""","Claro: **""Hello, I need to reschedule my appointment because my train was delayed.""**",English,Latin,[],polite appointment message,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_019,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""I can't join the call today, but I can share my update by email.""","Claro. Una forma más natural sería:

**“I won’t be able to join the call today, but I can send my update by email.”**

También podrías decir:

**“I’m not able to join the call today, but I’ll share my update by email.”**

La primera suena un poco más natural y profesional.",English,Latin,[],concise workplace update,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_020,es-en,editing_preservation,"Me ayudas a mejorar este texto para que suene natural? ""I need to ask my manager for one more day to finish the slide deck.""","“I need to ask my manager for one more day to finish the slide deck.”

Una versión más natural sería:

“I need to ask my manager for an extra day to finish the slide deck.”",English,Latin,[],polite workplace request,,"[""translation into instruction language"", ""explanation without rewriting""]",Instruction language differs from content language; output should preserve content language.,,,,,,,,,
rpt_audit_021,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""This option is more better for small teams.""",This option is better for small teams.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_022,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""Neither of the answers are correct.""",Neither of the answers is correct.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_023,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""This option is more better for small teams.""",This option is better for small teams.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_024,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""Please let me know if there is any informations missing.""",Please let me know if any information is missing.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,,
rpt_audit_025,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Account Settings"" before ""Password Reset"".","El documento enumera ""Account Settings"" antes de ""Password Reset"".",Spanish,Latin,"[""Account Settings"", ""Password Reset""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_026,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Office Hours"" before ""Makeup Exam"".","El documento enumera ""Office Hours"" antes de ""Makeup Exam"".",Spanish,Latin,"[""Office Hours"", ""Makeup Exam""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
