item_id,language_pair,task_family,expected_response_language,expected_script,challenge_type,auto_pass,auto_failed,expected_failure_types,failure_types,expected_signal_detected,response_chars,response_preview
ar_en_SA_001,ar-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,81,"Estimado team notes conclusion This response is clear, concise, and ready to use."
ar_en_SA_001,ar-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SA_001,ar-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SA_002,ar-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,85,"Estimado appointment train delayed This response is clear, concise, and ready to use."
ar_en_SA_002,ar-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SA_002,ar-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SA_003,ar-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,91,"Estimado invoice missing details tonight This response is clear, concise, and ready to use."
ar_en_SA_003,ar-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SA_003,ar-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SA_004,ar-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,76,"Estimado call today email This response is clear, concise, and ready to use."
ar_en_SA_004,ar-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SA_004,ar-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SA_005,ar-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,83,"Estimado paragraph sentence rude This response is clear, concise, and ready to use."
ar_en_SA_005,ar-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SA_005,ar-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SA_006,ar-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,80,"Estimado report chart readers This response is clear, concise, and ready to use."
ar_en_SA_006,ar-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SA_006,ar-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SA_007,ar-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,84,"Estimado client payment next week This response is clear, concise, and ready to use."
ar_en_SA_007,ar-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SA_007,ar-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SA_008,ar-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,87,"Estimado survey direct uncomfortable This response is clear, concise, and ready to use."
ar_en_SA_008,ar-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SA_008,ar-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SA_009,ar-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,91,"Estimado manager one more day slide deck This response is clear, concise, and ready to use."
ar_en_SA_009,ar-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SA_009,ar-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SA_010,ar-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,83,"Estimado tenant heating tomorrow This response is clear, concise, and ready to use."
ar_en_SA_010,ar-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SA_010,ar-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SB_001,ar-en,output_language_inference,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SB_001,ar-en,output_language_inference,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SB_002,ar-en,output_language_inference,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SB_002,ar-en,output_language_inference,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SB_003,ar-en,output_language_inference,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SB_003,ar-en,output_language_inference,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SB_004,ar-en,output_language_inference,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SB_004,ar-en,output_language_inference,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SB_005,ar-en,output_language_inference,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SB_005,ar-en,output_language_inference,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SB_006,ar-en,output_language_inference,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
